"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","1","globalInitSuite","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","0","setUpClass","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","0","prepareData","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","0","prepareData","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","2","springTestContextPrepareTestInstance","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"Search booking by id api.","1","searchBookingResponseValidation","Test Smoke suites","2026-07-17","skipped","2026-07-17","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"Partially update booking with valid date api.","1","partialUpdateBookingResponseValidation","Test Smoke suites","2026-07-17","skipped","2026-07-17","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","0","afterMethodCleanUp","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"Check that Admin is not able to authenticate with wrong password.","9","userFailedPasswordAuthResponseValidation","Test Smoke suites","2026-07-17","skipped","2026-07-17","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","1","prepareData","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","prepareData","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"Check that Admin is able to authenticate.","3","userAuthResponseValidation","Test Smoke suites","2026-07-17","skipped","2026-07-17","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"Create new valid booking with api.","0","createNewBookingResponseValidation","Test Smoke suites","2026-07-17","skipped","2026-07-17","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"Update booking with valid date api.","0","fullUpdateBookingResponseValidation","Test Smoke suites","2026-07-17","skipped","2026-07-17","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","0","globalCleanupSuite","Test Smoke suites","2026-07-17","broken","2026-07-17","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
