"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","afterMethodCleanUp","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","broken","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","0","prepareData","Test Smoke suites","Mon Mar 02 05:16:31 UTC 2026","broken","Mon Mar 02 05:16:31 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"Check that Admin is not able to authenticate with wrong password.","0","userFailedPasswordAuthResponseValidation","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","skipped","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","prepareData","Test Smoke suites","Mon Mar 02 05:16:30 UTC 2026","broken","Mon Mar 02 05:16:30 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","broken","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","Mon Mar 02 05:16:30 UTC 2026","broken","Mon Mar 02 05:16:30 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","broken","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"","0","setUpClass","Test Smoke suites","Mon Mar 02 05:16:31 UTC 2026","broken","Mon Mar 02 05:16:31 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","1","prepareData","Test Smoke suites","Mon Mar 02 05:16:30 UTC 2026","broken","Mon Mar 02 05:16:30 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","broken","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","1","afterMethodCleanUp","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","broken","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","skipped","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"Check that Admin is able to authenticate.","0","userAuthResponseValidation","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","skipped","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"","2","globalInitSuite","Test Smoke suites","Mon Mar 02 05:16:30 UTC 2026","broken","Mon Mar 02 05:16:30 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"Update booking with valid date api.","0","fullUpdateBookingResponseValidation","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","skipped","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Mon Mar 02 05:16:31 UTC 2026","broken","Mon Mar 02 05:16:31 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Mon Mar 02 05:16:31 UTC 2026","broken","Mon Mar 02 05:16:31 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Mon Mar 02 05:16:31 UTC 2026","broken","Mon Mar 02 05:16:31 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Mon Mar 02 05:16:31 UTC 2026","broken","Mon Mar 02 05:16:31 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"Search booking by id api.","1","searchBookingResponseValidation","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","skipped","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","broken","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"Create new valid booking with api.","5","createNewBookingResponseValidation","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","skipped","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"","0","globalCleanupSuite","Test Smoke suites","Mon Mar 02 05:16:32 UTC 2026","broken","Mon Mar 02 05:16:32 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
