"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","prepareData","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","prepareData","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","prepareData","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","prepareData"
"","0","setUpClass","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","setUpClass"
"","0","globalCleanupSuite","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"","1","afterMethodCleanUp","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"Check that Admin is able to authenticate.","1","userAuthResponseValidation","Test Smoke suites","2026-06-24","skipped","2026-06-24","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userAuthResponseValidation"
"Partially update booking with valid date api.","0","partialUpdateBookingResponseValidation","Test Smoke suites","2026-06-24","skipped","2026-06-24","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","partialUpdateBookingResponseValidation"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","springTestContextPrepareTestInstance"
"Update booking with valid date api.","1","fullUpdateBookingResponseValidation","Test Smoke suites","2026-06-24","skipped","2026-06-24","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"Create new valid booking with api.","1","createNewBookingResponseValidation","Test Smoke suites","2026-06-24","skipped","2026-06-24","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","createNewBookingResponseValidation"
"","0","afterMethodCleanUp","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","afterMethodCleanUp"
"","2","globalInitSuite","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","springTestContextPrepareTestInstance"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","springTestContextPrepareTestInstance"
"","0","prepareData","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","prepareData"
"Search booking by id api.","0","searchBookingResponseValidation","Test Smoke suites","2026-06-24","skipped","2026-06-24","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","searchBookingResponseValidation"
"","1","springTestContextPrepareTestInstance","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
"","0","afterMethodCleanUp","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"Check that Admin is not able to authenticate with wrong password.","0","userFailedPasswordAuthResponseValidation","Test Smoke suites","2026-06-24","skipped","2026-06-24","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","userFailedPasswordAuthResponseValidation"
"","0","prepareData","Test Smoke suites","2026-06-24","broken","2026-06-24","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","prepareData"
